muniNombre
ABEJORRAL
ABREGO
ABRIAQUÍ
ACACÍAS
ACANDÍ
ACEVEDO
ACHÍ
AGRADO
AGUACHICA
AGUADA
AGUADAS
AGUA DE DIOS
AGUAZUL
AGUSTÍN CODAZZI
AIPE
ALBANIA
ALBÁN
ALCALÁ
ALDANA
ALEJANDRÍA
ALGARROBO
ALGECIRAS
ALMAGUER
ALMEIDA
ALPUJARRA
ALTAMIRA
ALTO BAUDO
ALTOS DEL ROSARIO
ALVARADO
AMAGÁ
AMALFI
AMBALEMA
ANAPOIMA
ANCUYÁ
ANDALUCÍA
ANDES
ANGELÓPOLIS
ANGOSTURA
ANOLAIMA
ANORÍ
ANSERMA
ANSERMANUEVO
ANZA
ANZOÁTEGUI
APÍA
APARTADÓ
APULO
AQUITANIA
ARACATACA
ARANZAZU
ARATOCA
ARAUCA
ARAUQUITA
ARBELÁEZ
ARBOLEDA
ARBOLEDAS
ARBOLETES
ARCABUCO
ARENAL
ARGELIA
ARIGUANÍ
ARJONA
ARMENIA
ARMERO
ARROYOHONDO
ASTREA
ATACO
ATRATO
AYAPEL
BAGADÓ
BAHÍA SOLANO
BAJO BAUDÓ
BALBOA
BARANOA
BARAYA
BARBACOAS
BARBOSA
BARICHARA
BARRANCABERMEJA
BARRANCA DE UPÍA
BARRANCAS
BARRANCO DE LOBA
BARRANQUILLA
BECERRIL
BELALCÁZAR
BELLO
BELMIRA
BELÉN
BELÉN DE LOS ANDAQUIES
BELÉN DE UMBRÍA
BELTRÁN
BERBEO
BETANIA
BETÉITIVA
BETULIA
BITUIMA
BOAVITA
BOCHALEMA
BOGOTÁ
Bogotá D.C
BOJACÁ
BOJAYA
BOLÍVAR
BOSCONIA
BOYACÁ
BRICEÑO
BUCARAMANGA
BUCARASICA
BUENAVENTURA
BUENAVISTA
BUENOS AIRES
BUESACO
BUGALAGRANDE
BURITICÁ
BUSBANZÁ
CAÑASGORDAS
CABRERA
CABUYARO
CACHIPAY
CACHIRÁ
CAICEDO
CAICEDONIA
CAIMITO
CAJAMARCA
CAJIBÍO
CAJICÁ
CALAMAR
CALARCA
CALDAS
CALDONO
CALI
CALIFORNIA
CALIMA
CALOTO
CAMPAMENTO
CAMPOALEGRE
CAMPO DE LA CRUZ
CAMPOHERMOSO
CANALETE
CANDELARIA
CANTAGALLO
CAPARRAPÍ
CAPITANEJO
CAQUEZA
CARACOLÍ
CARAMANTA
CARCASÍ
CAREPA
CARMEN DE APICALÁ
CARMEN DE CARUPA
CARMEN DEL DARIEN
CAROLINA
CARTAGENA
CARTAGENA DEL CHAIRÁ
CARTAGO
CARURU
CASABIANCA
CASTILLA LA NUEVA
CAUCASIA
CÁCERES
CÁCOTA
CÚCUTA
CEPITÁ
CERETÉ
CERINZA
CERRITO
CERRO SAN ANTONIO
CHÍA
CHACHAGÜÍ
CHAGUANÍ
CHALÁN
CHAMEZA
CHAPARRAL
CHARALÁ
CHARTA
CHIBOLO
CHIGORODÓ
CHIMÁ
CHIMA
CHIMICHAGUA
CHINÚ
CHINAVITA
CHINCHINÁ
CHINÁCOTA
CHIPAQUE
CHIPATÁ
CHIQUINQUIRÁ
CHIRIGUANÁ
CHISCAS
CHITA
CHITAGÁ
CHITARAQUE
CHIVATÁ
CHIVOR
CHOACHÍ
CHOCONTÁ
CHÍQUIZA
CICUCO
CIMITARRA
CIÉNAGA
CIÉNAGA DE ORO
CIÉNEGA
CIRCASIA
CISNEROS
CIUDAD BOLÍVAR
CLEMENCIA
CÓMBITA
COCORNÁ
COELLO
COGUA
COLÓN
COLOMBIA
COLOSO
CONCEPCIÓN
CONCORDIA
CONDOTO
CONFINES
CONSACA
CONTADERO
CONTRATACIÓN
CONVENCIÓN
COPACABANA
COPER
CORINTO
COROMORO
COROZAL
CORRALES
COTA
COTORRA
